adj,noun,article
pink,bow,a
springy,tail,a
buttered,dough,NA
hot,door,a
silver,ship,a
purple,ladybug,a
silver,line,a
wet,rag,a
hot,cake,a
hot,noodle,a
orange,snack,a
orange,sticker,a
brown,color,a
naked,girl,a
green,grasshopper,a
flat,cardboard,NA
yellow,puppy,a
moist,skin,NA
dead,person,a
brown,rock,a
red,picture,a
evergreen,tree,a
naked,butt,a
blonde,hair,a
dark,cloud,a
orange,boy,a
bright,hair,a
bottom,stair,a
red,crab,a
wet,girl,a
sweet,baby,a
pink,tongue,a
red,ground,NA
yellow,curtain,a
giant,stick,a
dirty,slipper,a
yellow,key,a
fat,food,NA
hot,aspen,an
back,door,a
yellow,dragon,a
yellow,curve,a
grey,bridge,a
red,arrow,an
bright,shirt,a
green,roof,a
wet,snow,NA
bright,star,a
purple,bin,a
purple,salad,a
pink,basement,a
fat,leg,a
fuzzy,fur,NA
green,track,a
wet,towel,a
red,hand,a
orange,nose,a
plastic,garbage,NA
green,helmet,a
yellow,ticket,a
bright,fire,a
bright,light,a
yellow,giraffe,a
green,laundry,NA
green,grass,NA
dirty,penny,a
top,bunk,a
yellow,paper,a
green,orange,an
upstairs,food,NA
solid,baby,a
hot,wing,a
green,banana,a
orange,tail,a
pink,balloon,a
thick,brick,a
wet,tissue,a
wooden,arm,an
yellow,lip,a
bright,punch,a
red,sunset,a
red,hole,a
purple,wheel,a
purple,octopus,an
solid,food,NA
brown,clump,a
slippery,slipper,a
dark,cow,a
dark,barn,a
wet,sock,a
yellow,duckling,a
pink,crayon,a
dark,owl,an
orange,balloon,a
solid,smack,a
green,knife,a
bright,card,a
wooden,stool,a
yellow,flag,a
plastic,tunnel,a
thick,whisker,a
red,closet,a
yellow,flower,a
green,tree,a
green,puzzle,a
pink,purple,a
bronze,sword,a
green,pepper,a
hot,bottle,a
red,cat,a
green,bubble,a
red,spot,a
muddy,bottom,a
red,ball,a
orange,apple,an
grey,garbage,NA
yellow,goldfish,a
red,tail,a
orange,mango,a
hot,waffle,a
plastic,air,NA
yellow,grass,NA
green,belt,a
yellow,bunny,a
yellow,outfit,an
pink,bird,a
red,dinosaur,a
male,alligator,an
rainy,season,a
furry,coach,a
purple,shovel,a
purple,honey,NA
green,apple,an
red,soup,NA
yellow,fireman,a
sweet,rose,a
upstairs,mother,a
round,ball,a
green,hair,a
brown,apple,an
giant,mother,a
orange,top,a
green,bulb,a
dirty,train,a
iron,sword,a
plastic,bowl,a
dirty,house,a
orange,rock,a
green,flower,a
green,pig,a
green,plate,a
hot,baby,a
thick,leg,a
scaly,skin,NA
wet,shirt,a
yellow,clay,NA
yellow,bow,a
green,box,a
velvety,cat,a
wet,grass,NA
red,path,a
dark,chocolate,NA
red,snow,NA
brown,cake,a
purple,pepper,a
curly,girl,a
wet,child,a
red,rain,NA
pink,kitty,a
red,bow,a
dark,crayon,a
sunny,path,a
brown,shirt,a
orange,letter,a
wet,shoe,a
orange,hippo,a
green,carrot,a
orange,star,a
pink,cup,a
pink,worm,a
pink,sweet,a
red,leg,a
purple,sweater,a
yellow,footprint,a
light,car,a
pink,rattle,a
round,cookie,a
pink,snail,a
red,bear,a
purple,window,a
hot,engine,an
yellow,duck,a
red,park,a
mechanic,shop,a
red,fish,a
orange,heart,a
dark,floor,a
dark,night,a
yellow,sailboat,a
yellow,sunset,a
yellow,spider,a
gold,bag,a
green,tomato,a
hot,hand,a
green,garbage,NA
brown,stripe,a
dark,dot,a
purple,camera,a
green,tea,NA
soapy,water,NA
